id,title,category,subcategory,description,images,specifications
0,Ноутбук НР 15-ra057ur N3060 4Gb 500Gb,Компьютерная техника,Ноутбуки,"Отличный ноутбук для тех, кто привык к максимальной мобильности. Благодаря небольшому весу вы легко сможете взять НР 15-ra057ur с собой в поездку, а литий-ионный аккумулятор позволит вам работать до 4 часов без дополнительной подзарядки. Такой ноутбук прекрасно подойдёт для выполнения повседневных задач, интернет-сёрфинга и просмотра медиа-файлов.",['/upload/product/749/e421a868a427c037b3d60d1985885b70/full.jpg'],"{'Процессор': 'Intel Celeron Dual Core N3060 (Braswell) 1.6 ГГц', 'Объём оперативной памяти': '4 ГБ', 'Видеоадаптер': 'Интегрированный Intel HD Graphics 400', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '4 ч', 'Аккумулятор': 'Литий-ионная, емкость - 2620 мАч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '500 ГБ', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'TN (LED) Матовый', 'Тип памяти': 'HDD', 'Жесткий диск (HDD)': '500 Гб', 'USB порт': 'USB 2.0 - 1 шт; USB 3.0 - 2 шт.', 'LAN': 'Есть', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1366x768 WXGA', 'Диагональ': '15.6', 'Размеры': '38x25.4x2.4 см', 'Вес': '2.1 кг'}"
1,Ноутбук Lenovo IdeaPad 320 i3-6006U 6Gb 1000Gb,Компьютерная техника,Ноутбуки,"Ноутбук Lenovo IdeaPad 320 легко подключить к проектору, чтобы показать вашу презентацию на большом экране! Этот тихий, лёгкий и практичный ноутбук подойдёт не только для работы! Интернет-сёрфинг, просмотр видео, лёгкие игры - Lenovo IdeaPad несомненно справится с этими задачами на отлично. Интерфейс ноутбука продуман до мелочей, так что он без проблем подойдёт для ежедневных задач.
Вместе с ноутбуком вы получаете пакет предустановленного бесплатного ПО: Windows 10, OpenOffice, GIMP, paint.net, KMPlayer, 7zip, Opera, Chrome.","['/upload/product/139/76cf460882286809265164b64a93cb58/full.jpg', '/upload/product/139/403154a87337336dc13c3b2f63f0e4df/full.jpg', '/upload/product/139/a4a1c60fdc7ed7659f64ca0c29f7fea9/full.jpg', '/upload/product/139/749671415365b3dbe4f1eb28cecb2816/full.jpg']","{'Процессор': 'Intel® Core™ i3 6006U 2000 Mhz', 'Объём оперативной памяти': '6 ГБ', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '5 ч', 'Аккумулятор': '2-Cell Li-Ion', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Видеокарта': 'NVIDIA GeForce 920MX', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Экран': 'TFT', 'Жесткий диск (HDD)': '1000 Gb', 'USB порт': 'USB 3.0: 2 шт', 'LAN': 'Есть', 'Разрешение экрана': '1920x1080 FHD', 'Диагональ': '15.6', 'Размеры': '378 x 260 x 22.9 мм', 'Вес': '2.2 кг'}"
2,Ноутбук Lenovo Legion Y520-15 i7-7700HQ 16Gb 1000Gb,Компьютерная техника,Ноутбуки,Lenovo Legion Y520-15 – один из самых популярных геймерских ноутбуков. Его базовая конфигурация включает в себя процессор Core i7 и видеокарты GTX 1050. Четырехъядерный восьмипоточный процессор 7700HQ будет весьма кстати  в современных играх. Двухвентиляторная система охлаждения Legion Y520 даёт возможность переключаться между обычным и усиленным обдувом.,"['/upload/product/587/b44e2bcb1f1a0bf2200f82e8a295643e/full.jpg', '/upload/product/587/b1ead59d58dcdc6f39c1f5c37666ebc2/full.jpg', '/upload/product/587/e868d37c1098abad0dc26a858b083ed1/full.jpg', '/upload/product/587/793b41275bb733cf348578aa7a6e2a92/full.jpg', '/upload/product/587/7840316d2425050f88fbf259181a6ec1/full.jpg', '/upload/product/587/48e98d35eed7f4331b1ef0a99b4c7542/full.jpg']","{'Процессор': 'Intel Core i7, 7700HQ, 2800 МГц', 'Объём оперативной памяти': '16 ГБ', 'Версия ОС': 'Windows 10', 'Аккумулятор': 'Li-Pol, 3900 мАч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Видеокарта': 'GeForce GTX 1050 Ti', 'Операционная система': 'Windows', 'Экран': 'Матовый', 'Жесткий диск (HDD)': '1000 Gb', 'Разрешение экрана': '1920x1080 (16:9)', 'Диагональ': '15.6', 'Размеры': '380 x 26 x 265 мм', 'Вес': '2.4 кг'}"
3,Ноутбук Apple MacBook Air 2020,Компьютерная техника,Ноутбуки,"MacBook Air 2020 ещё более тонкий и невероятно лёгкий по сравнению со своими старшими моделями! Он оборудован дисплеем Retina, клавиатурой нового поколения, трекпадом Force Touch и технологией Touch ID, которая обеспечивает максимальную защиту ваших данных и даёт доступ к ним только вам. В четыре раза больше пикселей, чем на HD‑дисплее, что обеспечивает яркое реалистичное изображение.","['/upload/product/1638/93754986950117a9c8d708e73a3017f6/full.jpg', '/upload/product/1638/52160a7f5c4d6c99d93f3a3ed5ec44cd/full.jpg', '/upload/product/1638/1ef3d9d16bbdfac7d78384500e6aba68/full.jpg', '/upload/product/1638/98a84a04e53c724699cc07fc4908153a/full.jpg', '/upload/product/1638/f44ec1dbf6bdf680995bad9a37616635/full.jpg']","{'Процессор': 'Графический процессор Apple M1 (7 ядер)', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': '256 ГБ', 'Максимальное время работы': '18 ч', 'Аккумулятор': 'Li-Pol  49,9 Вт*ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Стереодинамики': 'Есть', 'USB порт': 'Есть', 'Камера': 'Есть', 'Количество ядер': '8', 'Разрешение экрана': '2560x1600', 'Диагональ': '13', 'Размеры': '21,24 x  30,41 x  0,41 – 1,61 см', 'Вес': '1,29 кг'}"
4,Ноутбук HP Omen 15-ce012ur i7-7700HQ 16Gb 128Gb-SSD 1000Gb,Компьютерная техника,Ноутбуки,"Стремитесь побеждать? Игровой ноутбук HP Omen 15-ce012ur поможет вам в этом! Обладая мощным аппаратным обеспечением и агрессивным дизайном, Omen имеет высокую производительность и мобильность, позволяя бросить вызов любой игре. Его мощность поражает! Ноутбук оснащен процессором Intel Core седьмого поколения и графическим адаптером NVIDIA GTX 1060. Эффективная система охлаждения справляется даже с самыми требовательными проектами AAA-класса. Мощные стерео-динамики HP создают ощущение не просто прослушивания звука – вы будете чувствовать его.","['/upload/product/752/c09b740673134d1b0e7d1c79d843f49e/full.jpg', '/upload/product/752/ac149fc8f8522552313159f6844817c5/full.jpg', '/upload/product/752/156338242867b845038b3188747f985a/full.jpg', '/upload/product/752/0c7e6a319ad2d6924c29d4863d9fb02d/full.jpg', '/upload/product/752/203e248e8bc18e8f6ba89315edeb8611/full.jpg', '/upload/product/752/0e6641a9bfd50de5962f339829c63584/full.jpg', '/upload/product/752/184b620277c95fb4522a6616f3779fe0/full.jpg', '/upload/product/752/e124908ec76cc47c5e870d5c44e7f970/full.jpg', '/upload/product/752/580540a69c28f8a627c7ac74e9a024b2/full.jpg', '/upload/product/752/239865df6de90a24e35ca784f8228a40/full.jpg', '/upload/product/752/28a79e79ed76bb6e9d14b54a45af742f/full.jpg', '/upload/product/752/8ac7252294458afed96ae1e6caf614d1/full.jpg', '/upload/product/752/7a79a40c636444a5bbe85a91b77630c0/full.jpg', '/upload/product/752/f46d0388c19e69bee56b4dcdb5c11473/full.jpg', '/upload/product/752/0e4e4cf40805ca5500d965b700ad7447/full.jpg', '/upload/product/752/95da6db7eca479510bf085398d825601/full.jpg', '/upload/product/752/978f1bbc3531127e78ebf5cb01fa4e6f/full.jpg', '/upload/product/752/baafcafdca568e0ef4a3efec8a6e4443/full.jpg']","{'Процессор': 'Intel Core i7 7700HQ (Kaby Lake) 2.8 ГГц', 'Объём оперативной памяти': '16 ГБ', 'Жесткий диск (SSD)': '128 ГБ', 'Видеоадаптер': 'Интегрированный Intel HD Graphics 630', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '3 ч', 'Аккумулятор': 'Литий-ионная, емкость - 3720 мАч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '1000 ГБ', 'Видеокарта': 'NVIDIA GeForce® GTX 1060 в дизайне MAX-Q, 6144 МБ', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'Антибликовый', 'Тип памяти': 'HDD+SSD', 'Жесткий диск (HDD)': '1000 Gb', 'USB порт': 'USB 3.0 3 шт.', 'LAN': 'Есть', 'Матрица': 'Full HD', 'Камера': 'Есть', 'Количество ядер': '4', 'Разрешение экрана': '1920x1080 Full HD', 'Диагональ': '15.6', 'Размеры': '38.8x27.5x2.5 см', 'Вес': '2.620 кг'}"
5,Ноутбук Apple MacBook 12 дюймов,Компьютерная техника,Ноутбуки,"MacBook сочетает в себе высокую функциональность, максимальное удобство и невероятную лёгкость! Но несмотря на свою компактность он характеризуется большой мощностью. MacBook оснащён 2-ядерным процессором Intel Core m3 седьмого поколения с тактовой частотой 1,2 ГГц (ускорение Turbo Boost до 3,0 ГГц) и SSD-накопителем ёмкостью 256 ГБ. Дисплей Retina на MacBook даёт невероятно сочное изображение, в котором легко выделяются все мельчайшие детали.","['/upload/product/588/ef7bdb5f7e523e4164900cfa8712bfd9/full.jpg', '/upload/product/588/2a57c2c78ecdb676ccbdb35047d9bd21/full.jpg', '/upload/product/588/e92b15f9fdc7962f5b3cd89c4e82959b/full.jpg', '/upload/product/588/fba4660dcad7d168e229a55259a345fe/full.jpg', '/upload/product/588/dd5717007be0825ac4e05bd37ac91046/full.jpg']","{'Процессор': '1,2 ГГц  2-ядерный процессор Intel Core m3 с тактовой частотой 1,2 ГГц (ускорение Turbo Boost до 3,0 ГГц) и 4 МБ кэш-памяти третьего уровня', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': 'Встроенный SSD‑накопитель PCIe ёмкостью 256 ГБ', 'Видеоадаптер': 'Intel® HD Graphics 615', 'Версия ОС': 'MacOS', 'Аккумулятор': 'Встроенный литиевый аккумулятор с полимерным электролитом ёмкостью 41,4 Вт/ч', 'Операционная система': 'macOS', 'Стереодинамики': 'Есть', 'Экран': 'Экран с диагональю 12 дюймов с подсветкой LED и технологией IPS', 'Тип памяти': '8 ГБ встроенной памяти LPDDR3 1866 МГц', 'Разрешение экрана': '2304x1440 пикселей', 'Диагональ': '12', 'Размеры': 'Толщина: 0,35–1,31 см  Длина: 28,05 см  Ширина: 19,65 см', 'Вес': '0,92 кг'}"
6,Ноутбук Lenovo IdeaPad 330-15 i3/A8 4Gb 500Gb,Компьютерная техника,Ноутбуки,"Достаточно мощный ноутбук небольшого размера – то, что нужно для работы, интернет-сёрфинга и не слишком требовательных игр. Используйте Lenovo IdeaPad 330-15 в дороге или дома, ведь его небольшой размер позволяет всегда взять ноутбук с собой.","['/upload/product/788/60782d3c45eca6f5deca5fbf2c48500a/full.jpg', '/upload/product/788/9f6180c0b28112d210cbfbacf06e21bc/full.jpg']","{'Процессор': 'i3/A8', 'Объём оперативной памяти': '4 ГБ', 'Видеоадаптер': 'Intel HD 610', 'Версия ОС': 'Windows 10', 'Максимальное время работы': '6 ч', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Операционная система': 'Windows', 'Стереодинамики': 'Есть', 'Экран': 'TN+film матовый', 'Тип памяти': 'DDR4', 'Жесткий диск (HDD)': '500 Гб+', 'USB порт': 'Есть, 1', 'LAN': 'Есть', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1920x1080 пикс.', 'Диагональ': '15.6', 'Вес': '2.2 кг'}"
7,Ноутбук Apple MacBook Pro 16,Компьютерная техника,Ноутбуки,"Ноутбук Apple MacBook Pro 16 станет отличным помощником в работе, учебе и развлечениях! Используйте весь потенциал этогго мощного гаджета в утонченном дизайнерском корпусе. MacBook отлично подойдёт как для работы в офисе, так и для использования в повседневной жизни.","['/upload/product/1425/c0de7863064c20b1f81519c7a2c2b7a0/full.jpg', '/upload/product/1425/0be7b16e03911b79d0320655e37a3848/full.jpg']","{'Процессор': 'Intel Core i7 2.6 ГГц', 'Объём оперативной памяти': '16 ГБ', 'Версия ОС': 'MacOS', 'Встроенный модуль Bluetooth': 'Да', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '512 ГБ', 'Видеокарта': 'AMD Radeon Pro 5300M 4ГБ', 'Количество ядер': '6', 'Разрешение экрана': '3072x1920 пикс', 'Диагональ': '16', 'Размеры': '16.2*357.9*245.9 мм', 'Вес': '2 кг'}"
8,Ноутбук Apple MacBook Air,Компьютерная техника,Ноутбуки,"

MacBook Air ещё более тонкий и невероятно лёгкий по сравнению со своими старшими моделями! Он оборудован дисплеем Retina, клавиатурой нового поколения, трекпадом Force Touch и технологией Touch ID, которая обеспечивает максимальную защиту ваших данных и даёт доступ к ним только вам. В четыре раза больше пикселей, чем на HD‑дисплее, что обеспечивает яркое реалистичное изображение. 
","['/upload/product/589/38467615bd3e4f4a6b58a72fae892ed7/full.jpg', '/upload/product/589/277d1ba53b8071062b2195bf52aa652b/full.jpg', '/upload/product/589/c29487653f0ef26ba21fbfb7772f5e91/full.jpg']","{'Процессор': 'Двухъядерный процессор Intel Core i5 с тактовой частотой 1,6 ГГц (ускорение Turbo Boost до 3,6 ГГц) и 4 МБ кэш‑памяти третьего уровня', 'Объём оперативной памяти': '8 ГБ', 'Жесткий диск (SSD)': 'PCIe ёмкостью 128 ГБ', 'Видеоадаптер': 'Intel UHD Graphics 617', 'Версия ОС': 'MacOS', 'Аккумулятор': 'Встроенный литий-полимерный аккумулятор ёмкостью 50,3 Вт/ч', 'Встроенный модуль Wi-Fi': 'Да', 'Операционная система': 'macOS', 'Стереодинамики': 'Есть', 'Экран': 'Дисплей с диагональю 13,3 дюйма, подсветкой LED и технологией IPS', 'USB порт': 'USB Type-C, 1', 'Разрешение экрана': '2560×1600 пикселей', 'Диагональ': '13.3', 'Размеры': 'Толщина: 0,41–1,56 см  Длина: 30,41 см  Ширина: 21,24 см', 'Вес': '1,25 кг'}"
9,Ноутбук Lenovo G70-70 i5-4210U 4Gb 1000Gb,Компьютерная техника,Ноутбуки,"Ноутбук Lenovo G70-70 – ноутбук, который удобно взять с собой. Небольшие размеры и вес позволят легко использовать его как дома, так и в поездке. Отличные системные характеристики дают возможность использовать ноутбук не только для сёрфинга и работы, но и поиграть в несильно требовательные игры.","['/upload/product/628/885d95a47020cd4e7575c591ce70fdfe/full.jpg', '/upload/product/628/3bb4671a71b0e28dc60b0f3827d25122/full.jpg', '/upload/product/628/0513834f2c80e06db148b2ef435842c5/full.jpg', '/upload/product/628/f13b3f1f77f5a6493a038fa625f8e17d/full.jpg']","{'Процессор': 'Core i5 \t4210U', 'Объём оперативной памяти': '4 ГБ', 'Видеоадаптер': 'Intel HD Graphics 4400', 'Версия ОС': 'Windows 10', 'Аккумулятор': 'Li-Ion 2800мАч 4.0ч', 'Встроенный модуль Wi-Fi': 'Да', 'Объём встроенной памяти': '1000 ГБ', 'Видеокарта': 'nVidia GeForce 820M', 'Тип видеокарты': 'Дискретная', 'Операционная система': 'Windows', 'Экран': 'глянцевый', 'Тип памяти': 'HDD', 'Жесткий диск (HDD)': '1000ГБ 5400об/мин', 'Матрица': 'TN+film', 'Камера': 'Есть', 'Количество ядер': '2', 'Разрешение экрана': '1600x900', 'Диагональ': '17.3', 'Размеры': '418х283х28 мм', 'Вес': '2.9 кг'}"
